N(MN0:GM),N(MN0:VTH),N(MN0:CGD),N(MN0:CGS),N(MN0:GDS),I(VD),VG
4.59775997e-11,6.86365764e-01,-2.35189287e-16,-3.93083536e-16,2.61226790e-13,-2.34625388e-12,1.04000000e-01
4.72110224e-11,6.86365764e-01,-2.35269960e-16,-3.93374084e-16,2.68235340e-13,-2.39284547e-12,1.05000000e-01
4.84775187e-11,6.86365764e-01,-2.35350938e-16,-3.93663328e-16,2.75431850e-13,-2.44068695e-12,1.06000000e-01
4.97779750e-11,6.86365764e-01,-2.35432223e-16,-3.93951268e-16,2.82821357e-13,-2.48981183e-12,1.07000000e-01
5.11133012e-11,6.86365764e-01,-2.35513816e-16,-3.94237904e-16,2.90409036e-13,-2.54025452e-12,1.08000000e-01
5.24844316e-11,6.86365764e-01,-2.35595718e-16,-3.94523236e-16,2.98200196e-13,-2.59205036e-12,1.09000000e-01
5.38923255e-11,6.86365764e-01,-2.35677932e-16,-3.94807264e-16,3.06200291e-13,-2.64523564e-12,1.10000000e-01
5.53379681e-11,6.86365764e-01,-2.35760459e-16,-3.95089989e-16,3.14414922e-13,-2.69984760e-12,1.11000000e-01
5.68223707e-11,6.86365764e-01,-2.35843300e-16,-3.95371411e-16,3.22849836e-13,-2.75592449e-12,1.12000000e-01
5.83465717e-11,6.86365764e-01,-2.35926456e-16,-3.95651531e-16,3.31510938e-13,-2.81350560e-12,1.13000000e-01
5.99116375e-11,6.86365764e-01,-2.36009931e-16,-3.95930350e-16,3.40404289e-13,-2.87263126e-12,1.14000000e-01
6.15186627e-11,6.86365764e-01,-2.36093724e-16,-3.96207868e-16,3.49536113e-13,-2.93334287e-12,1.15000000e-01
6.31687716e-11,6.86365764e-01,-2.36177839e-16,-3.96484087e-16,3.58912800e-13,-2.99568294e-12,1.16000000e-01
6.48631182e-11,6.86365764e-01,-2.36262275e-16,-3.96759007e-16,3.68540911e-13,-3.05969515e-12,1.17000000e-01
6.66028876e-11,6.86365764e-01,-2.36347036e-16,-3.97032630e-16,3.78427183e-13,-3.12542432e-12,1.18000000e-01
6.83892965e-11,6.86365764e-01,-2.36432122e-16,-3.97304957e-16,3.88578534e-13,-3.19291647e-12,1.19000000e-01
7.02235943e-11,6.86365764e-01,-2.36517536e-16,-3.97575988e-16,3.99002066e-13,-3.26221888e-12,1.20000000e-01
7.21070637e-11,6.86365764e-01,-2.36603278e-16,-3.97845726e-16,4.09705072e-13,-3.33338005e-12,1.21000000e-01
7.40410218e-11,6.86365764e-01,-2.36689352e-16,-3.98114172e-16,4.20695039e-13,-3.40644983e-12,1.22000000e-01
7.60268208e-11,6.86365764e-01,-2.36775757e-16,-3.98381328e-16,4.31979655e-13,-3.48147938e-12,1.23000000e-01
7.80658492e-11,6.86365764e-01,-2.36862497e-16,-3.98647194e-16,4.43566815e-13,-3.55852122e-12,1.24000000e-01
8.01595326e-11,6.86365764e-01,-2.36949572e-16,-3.98911773e-16,4.55464624e-13,-3.63762929e-12,1.25000000e-01
8.23093347e-11,6.86365764e-01,-2.37036985e-16,-3.99175067e-16,4.67681403e-13,-3.71885899e-12,1.26000000e-01
8.45167585e-11,6.86365764e-01,-2.37124737e-16,-3.99437078e-16,4.80225698e-13,-3.80226717e-12,1.27000000e-01
8.67833469e-11,6.86365764e-01,-2.37212830e-16,-3.99697807e-16,4.93106282e-13,-3.88791223e-12,1.28000000e-01
8.91106844e-11,6.86365764e-01,-2.37301265e-16,-3.99957257e-16,5.06332162e-13,-3.97585411e-12,1.29000000e-01
9.15003977e-11,6.86365764e-01,-2.37390045e-16,-4.00215430e-16,5.19912589e-13,-4.06615439e-12,1.30000000e-01
9.39541569e-11,6.86365764e-01,-2.37479171e-16,-4.00472327e-16,5.33857058e-13,-4.15887625e-12,1.31000000e-01
9.64736770e-11,6.86365764e-01,-2.37568644e-16,-4.00727952e-16,5.48175320e-13,-4.25408462e-12,1.32000000e-01
9.90607186e-11,6.86365764e-01,-2.37658468e-16,-4.00982306e-16,5.62877387e-13,-4.35184611e-12,1.33000000e-01
1.01717090e-10,6.86365764e-01,-2.37748643e-16,-4.01235392e-16,5.77973538e-13,-4.45222916e-12,1.34000000e-01
1.04444646e-10,6.86365764e-01,-2.37839171e-16,-4.01487213e-16,5.93474327e-13,-4.55530402e-12,1.35000000e-01
1.07245294e-10,6.86365764e-01,-2.37930054e-16,-4.01737771e-16,6.09390590e-13,-4.66114282e-12,1.36000000e-01
1.10120990e-10,6.86365764e-01,-2.38021294e-16,-4.01987069e-16,6.25733455e-13,-4.76981962e-12,1.37000000e-01
1.13073743e-10,6.86365764e-01,-2.38112892e-16,-4.02235110e-16,6.42514345e-13,-4.88141048e-12,1.38000000e-01
1.16105616e-10,6.86365764e-01,-2.38204851e-16,-4.02481895e-16,6.59744989e-13,-4.99599348e-12,1.39000000e-01
1.19218726e-10,6.86365764e-01,-2.38297173e-16,-4.02727429e-16,6.77437430e-13,-5.11364879e-12,1.40000000e-01
1.22415248e-10,6.86365764e-01,-2.38389859e-16,-4.02971714e-16,6.95604034e-13,-5.23445874e-12,1.41000000e-01
1.25697415e-10,6.86365764e-01,-2.38482911e-16,-4.03214753e-16,7.14257497e-13,-5.35850784e-12,1.42000000e-01
1.29067518e-10,6.86365764e-01,-2.38576330e-16,-4.03456549e-16,7.33410853e-13,-5.48588288e-12,1.43000000e-01
1.32527912e-10,6.86365764e-01,-2.38670120e-16,-4.03697105e-16,7.53077487e-13,-5.61667297e-12,1.44000000e-01
1.36081012e-10,6.86365764e-01,-2.38764282e-16,-4.03936424e-16,7.73271139e-13,-5.75096960e-12,1.45000000e-01
1.39729300e-10,6.86365764e-01,-2.38858817e-16,-4.04174510e-16,7.94005919e-13,-5.88886672e-12,1.46000000e-01
1.43475323e-10,6.86365764e-01,-2.38953727e-16,-4.04411366e-16,8.15296313e-13,-6.03046078e-12,1.47000000e-01
1.47321695e-10,6.86365764e-01,-2.39049016e-16,-4.04646994e-16,8.37157194e-13,-6.17585081e-12,1.48000000e-01
1.51271102e-10,6.86365764e-01,-2.39144683e-16,-4.04881399e-16,8.59603833e-13,-6.32513851e-12,1.49000000e-01
1.55326302e-10,6.86365764e-01,-2.39240732e-16,-4.05114584e-16,8.82651909e-13,-6.47842828e-12,1.50000000e-01
1.59490123e-10,6.86365764e-01,-2.39337165e-16,-4.05346553e-16,9.06317519e-13,-6.63582732e-12,1.51000000e-01
1.63765473e-10,6.86365764e-01,-2.39433983e-16,-4.05577308e-16,9.30617192e-13,-6.79744570e-12,1.52000000e-01
1.68155335e-10,6.86365764e-01,-2.39531188e-16,-4.05806854e-16,9.55567898e-13,-6.96339643e-12,1.53000000e-01
1.72662772e-10,6.86365764e-01,-2.39628782e-16,-4.06035194e-16,9.81187059e-13,-7.13379556e-12,1.54000000e-01
1.77290930e-10,6.86365764e-01,-2.39726768e-16,-4.06262331e-16,1.00749257e-12,-7.30876222e-12,1.55000000e-01
1.82043037e-10,6.86365764e-01,-2.39825147e-16,-4.06488270e-16,1.03450278e-12,-7.48841873e-12,1.56000000e-01
1.86922408e-10,6.86365764e-01,-2.39923921e-16,-4.06713015e-16,1.06223657e-12,-7.67289071e-12,1.57000000e-01
1.91932449e-10,6.86365764e-01,-2.40023093e-16,-4.06936568e-16,1.09071328e-12,-7.86230710e-12,1.58000000e-01
1.97076652e-10,6.86365764e-01,-2.40122665e-16,-4.07158934e-16,1.11995281e-12,-8.05680032e-12,1.59000000e-01
2.02358607e-10,6.86365764e-01,-2.40222638e-16,-4.07380117e-16,1.14997555e-12,-8.25650632e-12,1.60000000e-01
2.07781996e-10,6.86365764e-01,-2.40323014e-16,-4.07600121e-16,1.18080246e-12,-8.46156468e-12,1.61000000e-01
2.13350603e-10,6.86365764e-01,-2.40423796e-16,-4.07818949e-16,1.21245506e-12,-8.67211872e-12,1.62000000e-01
2.19068309e-10,6.86365764e-01,-2.40524986e-16,-4.08036607e-16,1.24495543e-12,-8.88831558e-12,1.63000000e-01
2.24939102e-10,6.86365764e-01,-2.40626586e-16,-4.08253096e-16,1.27832625e-12,-9.11030636e-12,1.64000000e-01
2.30967073e-10,6.86365764e-01,-2.40728597e-16,-4.08468423e-16,1.31259081e-12,-9.33824618e-12,1.65000000e-01
2.37156426e-10,6.86365764e-01,-2.40831023e-16,-4.08682590e-16,1.34777301e-12,-9.57229430e-12,1.66000000e-01
2.43511475e-10,6.86365764e-01,-2.40933865e-16,-4.08895603e-16,1.38389739e-12,-9.81261426e-12,1.67000000e-01
2.50036648e-10,6.86365764e-01,-2.41037126e-16,-4.09107465e-16,1.42098916e-12,-1.00593740e-11,1.68000000e-01
2.56736494e-10,6.86365764e-01,-2.41140807e-16,-4.09318180e-16,1.45907418e-12,-1.03127458e-11,1.69000000e-01
2.63615680e-10,6.86365764e-01,-2.41244911e-16,-4.09527752e-16,1.49817902e-12,-1.05729067e-11,1.70000000e-01
2.70679001e-10,6.86365764e-01,-2.41349440e-16,-4.09736187e-16,1.53833094e-12,-1.08400385e-11,1.71000000e-01
2.77931376e-10,6.86365764e-01,-2.41454396e-16,-4.09943488e-16,1.57955795e-12,-1.11143277e-11,1.72000000e-01
2.85377859e-10,6.86365764e-01,-2.41559781e-16,-4.10149659e-16,1.62188879e-12,-1.13959660e-11,1.73000000e-01
2.93023636e-10,6.86365764e-01,-2.41665598e-16,-4.10354706e-16,1.66535297e-12,-1.16851499e-11,1.74000000e-01
3.00874032e-10,6.86365764e-01,-2.41771848e-16,-4.10558631e-16,1.70998080e-12,-1.19820814e-11,1.75000000e-01
3.08934514e-10,6.86365764e-01,-2.41878535e-16,-4.10761440e-16,1.75580338e-12,-1.22869680e-11,1.76000000e-01
3.17210696e-10,6.86365764e-01,-2.41985660e-16,-4.10963137e-16,1.80285265e-12,-1.26000224e-11,1.77000000e-01
3.25708339e-10,6.86365764e-01,-2.42093225e-16,-4.11163727e-16,1.85116139e-12,-1.29214632e-11,1.78000000e-01
3.34433359e-10,6.86365764e-01,-2.42201233e-16,-4.11363214e-16,1.90076328e-12,-1.32515148e-11,1.79000000e-01
3.43391831e-10,6.86365764e-01,-2.42309687e-16,-4.11561602e-16,1.95169288e-12,-1.35904077e-11,1.80000000e-01
3.52589989e-10,6.86365764e-01,-2.42418588e-16,-4.11758896e-16,2.00398567e-12,-1.39383784e-11,1.81000000e-01
3.62034236e-10,6.86365764e-01,-2.42527938e-16,-4.11955101e-16,2.05767808e-12,-1.42956697e-11,1.82000000e-01
3.71731142e-10,6.86365764e-01,-2.42637741e-16,-4.12150220e-16,2.11280750e-12,-1.46625311e-11,1.83000000e-01
3.81687455e-10,6.86365764e-01,-2.42747998e-16,-4.12344259e-16,2.16941235e-12,-1.50392184e-11,1.84000000e-01
3.91910102e-10,6.86365764e-01,-2.42858712e-16,-4.12537223e-16,2.22753204e-12,-1.54259947e-11,1.85000000e-01
4.02406194e-10,6.86365764e-01,-2.42969885e-16,-4.12729115e-16,2.28720704e-12,-1.58231298e-11,1.86000000e-01
4.13183031e-10,6.86365764e-01,-2.43081519e-16,-4.12919940e-16,2.34847891e-12,-1.62309007e-11,1.87000000e-01
4.24248109e-10,6.86365764e-01,-2.43193618e-16,-4.13109704e-16,2.41139030e-12,-1.66495919e-11,1.88000000e-01
4.35609121e-10,6.86365764e-01,-2.43306182e-16,-4.13298410e-16,2.47598501e-12,-1.70794955e-11,1.89000000e-01
4.47273967e-10,6.86365764e-01,-2.43419216e-16,-4.13486063e-16,2.54230800e-12,-1.75209114e-11,1.90000000e-01
4.59250756e-10,6.86365764e-01,-2.43532720e-16,-4.13672669e-16,2.61040543e-12,-1.79741475e-11,1.91000000e-01
4.71547814e-10,6.86365764e-01,-2.43646699e-16,-4.13858231e-16,2.68032469e-12,-1.84395197e-11,1.92000000e-01
4.84173687e-10,6.86365764e-01,-2.43761153e-16,-4.14042754e-16,2.75211443e-12,-1.89173527e-11,1.93000000e-01
4.97137149e-10,6.86365764e-01,-2.43876085e-16,-4.14226243e-16,2.82582460e-12,-1.94079796e-11,1.94000000e-01
5.10447207e-10,6.86365764e-01,-2.43991499e-16,-4.14408703e-16,2.90150647e-12,-1.99117425e-11,1.95000000e-01
5.24113110e-10,6.86365764e-01,-2.44107396e-16,-4.14590139e-16,2.97921269e-12,-2.04289926e-11,1.96000000e-01
5.38144349e-10,6.86365764e-01,-2.44223779e-16,-4.14770554e-16,3.05899731e-12,-2.09600905e-11,1.97000000e-01
5.52550670e-10,6.86365764e-01,-2.44340651e-16,-4.14949954e-16,3.14091580e-12,-2.15054063e-11,1.98000000e-01
5.67342077e-10,6.86365764e-01,-2.44458013e-16,-4.15128344e-16,3.22502512e-12,-2.20653202e-11,1.99000000e-01
5.82528842e-10,6.86365764e-01,-2.44575869e-16,-4.15305729e-16,3.31138376e-12,-2.26402222e-11,2.00000000e-01
5.98121507e-10,6.86365764e-01,-2.44694221e-16,-4.15482112e-16,3.40005173e-12,-2.32305131e-11,2.01000000e-01
6.14130897e-10,6.86365764e-01,-2.44813072e-16,-4.15657499e-16,3.49109068e-12,-2.38366041e-11,2.02000000e-01
6.30568122e-10,6.86365764e-01,-2.44932424e-16,-4.15831895e-16,3.58456387e-12,-2.44589175e-11,2.03000000e-01
6.47444589e-10,6.86365764e-01,-2.45052280e-16,-4.16005303e-16,3.68053625e-12,-2.50978868e-11,2.04000000e-01
6.64772007e-10,6.86365764e-01,-2.45172642e-16,-4.16177730e-16,3.77907450e-12,-2.57539570e-11,2.05000000e-01
6.82562398e-10,6.86365764e-01,-2.45293513e-16,-4.16349180e-16,3.88024708e-12,-2.64275851e-11,2.06000000e-01
7.00828101e-10,6.86365764e-01,-2.45414896e-16,-4.16519658e-16,3.98412425e-12,-2.71192402e-11,2.07000000e-01
